ID|COD_SKU_SAP|UND_ORDEN|FECHA
25|266|64|1/09/2022
25|266|62|1/10/2022
25|266|44|1/11/2022
25|266|55|1/12/2022
25|266|53|1/01/2023
25|266|27|1/02/2023
25|266|33|1/03/2023
25|266|34|1/04/2023
25|266|38|1/05/2023
25|266|26|1/06/2023
25|266|37|1/07/2023
30|298|347|1/01/2018
30|298|307|1/02/2018
30|298|412|1/03/2018
30|298|323|1/04/2018
30|298|369|1/05/2018
30|298|330|1/06/2018
30|298|448|1/07/2018
30|298|430|1/08/2018
30|298|476|1/09/2018
30|298|555|1/10/2018
30|298|657|1/11/2018
30|298|693|1/12/2018
30|298|616|1/01/2019
30|298|642|1/02/2019
30|298|628|1/03/2019
30|298|571|1/04/2019
30|298|569|1/05/2019
30|298|504|1/06/2019
30|298|761|1/07/2019
30|298|813|1/08/2019
30|298|763|1/09/2019
30|298|764|1/10/2019
30|298|758|1/11/2019
30|298|815|1/12/2019
30|298|913|1/01/2020
30|298|980|1/02/2020
30|298|715|1/03/2020
30|298|599|1/04/2020
30|298|772|1/05/2020
30|298|997|1/06/2020
30|298|1251|1/07/2020
30|298|1200|1/08/2020
30|298|1075|1/09/2020
30|298|1257|1/10/2020
30|298|1201|1/11/2020
30|298|1259|1/12/2020
30|298|1266|1/01/2021
30|298|1138|1/02/2021
30|298|1501|1/03/2021
30|298|1367|1/04/2021
30|298|2169|1/05/2021
30|298|1728|1/06/2021
30|298|2137|1/07/2021
30|298|1871|1/08/2021
30|298|1742|1/09/2021
30|298|906|1/10/2021
30|298|2363|1/11/2021
30|298|1792|1/12/2021
30|298|1510|1/01/2022
30|298|1714|1/02/2022
30|298|1559|1/03/2022
30|298|1561|1/04/2022
30|298|1477|1/05/2022
30|298|1628|1/06/2022
30|298|1409|1/07/2022
30|298|1935|1/08/2022
30|298|1405|1/09/2022
30|298|1948|1/10/2022
30|298|1636|1/11/2022
30|298|1648|1/12/2022
30|298|2147|1/01/2023
30|298|1562|1/02/2023
30|298|1545|1/03/2023
30|298|1462|1/04/2023
30|298|1680|1/05/2023
30|298|1519|1/06/2023
30|298|1460|1/07/2023
38|377|155|1/01/2018
38|377|136|1/02/2018
38|377|92|1/03/2018
38|377|98|1/04/2018
